HRvalue,ts,HRvalid,SpO2valid,SpO2value
187,1.67932E+12,TRUE,TRUE,93.8034
187,1.67932E+12,TRUE,FALSE,'-999
115,1.67932E+12,TRUE,TRUE,97.184874
115,1.67932E+12,TRUE,TRUE,99.796266
115,1.67932E+12,TRUE,TRUE,84.879954
115,1.67932E+12,TRUE,TRUE,97.118136
115,1.67932E+12,TRUE,TRUE,96.411114
115,1.67932E+12,TRUE,TRUE,99.592554
62,1.67932E+12,TRUE,TRUE,93.468594
62,1.67932E+12,TRUE,TRUE,98.752554
75,1.67932E+12,TRUE,TRUE,98.928594
75,1.67932E+12,TRUE,TRUE,96.960936
75,1.67932E+12,TRUE,TRUE,96.486024
75,1.67932E+12,TRUE,TRUE,97.3998
75,1.67932E+12,TRUE,TRUE,97.802616
75,1.67932E+12,TRUE,TRUE,97.802616
75,1.67932E+12,TRUE,TRUE,97.802616
75,1.67932E+12,TRUE,TRUE,99.84405
75,1.67932E+12,TRUE,TRUE,98.752554
75,1.67932E+12,TRUE,TRUE,98.288856
75,1.67932E+12,TRUE,TRUE,96.891474
75,1.67932E+12,TRUE,TRUE,95.894706
32,1.67932E+12,TRUE,FALSE,'-999
300,1.67932E+12,TRUE,FALSE,'-999
65,1.67932E+12,TRUE,TRUE,99.169194
65,1.67932E+12,TRUE,TRUE,96.727986
65,1.67932E+12,TRUE,TRUE,96.6558
65,1.67932E+12,TRUE,TRUE,91.270506
65,1.67932E+12,TRUE,TRUE,99.519096
65,1.67932E+12,TRUE,TRUE,99.24465
166,1.67932E+12,TRUE,TRUE,92.771946
40,1.67932E+12,TRUE,TRUE,96.6558
55,1.67932E+12,TRUE,TRUE,99.519096
100,1.67932E+12,TRUE,TRUE,99.016626
100,1.67932E+12,TRUE,TRUE,97.184874
100,1.67932E+12,TRUE,TRUE,99.169194
53,1.67932E+12,TRUE,TRUE,96.960936
53,1.67932E+12,TRUE,TRUE,89.624874
93,1.67932E+12,TRUE,TRUE,98.500104
93,1.67932E+12,TRUE,FALSE,'-999
93,1.67932E+12,TRUE,TRUE,98.889096
93,1.67932E+12,TRUE,TRUE,96.6558
93,1.67932E+12,TRUE,TRUE,95.34225
93,1.67932E+12,TRUE,TRUE,96.891474
45,1.67932E+12,TRUE,TRUE,95.894706
45,1.67932E+12,TRUE,TRUE,88.747986
'-999,1.67932E+12,FALSE,FALSE,'-999
'-999,1.67932E+12,FALSE,FALSE,'-999
'-999,1.67932E+12,FALSE,FALSE,'-999
'-999,1.67932E+12,FALSE,FALSE,'-999
